Country Name,Country Code,Year,inflation_rate,gdp,debt_to_gdp,ENERGY IMPORT (% of energy use ,Exports,Imports,International Trade,
Russian Federation,RUS,1999,85.7464940960636,195907128350.934,95.6702724203279,-57.793686,84670999188,51275385865,33395613323,
Russian Federation,RUS,2000,20.7987606558704,259710142196.943,57.9764384368627,-56.44208636,114429434767,62417348027,52012086740,
Russian Federation,RUS,2001,21.4770072117159,306602070620.5,46.6826951160993,-59.07965152,113116215290,74250942749,38865272541,
Russian Federation,RUS,2002,15.7887307914463,345470494417.863,40.8533394581356,-66.17712367,121649122807,84408293461,37240829346,
Russian Federation,RUS,2003,13.6632930228666,430347420184.885,44.5626607613604,-70.98804416,151697387188,102759593086,48937794102,
Russian Federation,RUS,2004,10.8886157326216,591016690732.385,37.044289752436,-79.43161967,203415480736,130992710864,72422769872,
Russian Federation,RUS,2005,12.6853039507349,764015973481.11,33.5124776049074,-82.75055078,268957047129,164341230419,104615816710,
Russian Federation,RUS,2006,9.66865454789265,989932071352.543,32.3865885396895,-80.25789095,333908794240,207914704587,125994089653,
Russian Federation,RUS,2007,9.00729868861079,1299703478481.65,32.7591854997396,-82.11466438,392043343369,279982932542,112060410827,
Russian Federation,RUS,2008,14.1107677840442,1660848058303.11,25.9737563112073,-77.95494185,520004224863,366597425851,153406799012,
Russian Federation,RUS,2009,11.6473295764118,1222645900055.7,34.3613166173345,-83.14469347,341584048926,250605238920,90978810006,
Russian Federation,RUS,2010,6.84939230255025,1524916715223.95,28.2773715301649,-82.91332676,445512969857,322366550354,123146419503,
Russian Federation,RUS,2011,8.4404648593257,2045922753398.04,27.4162213475377,-80.53987975,573991024064,408776142105,165214881959,
Russian Federation,RUS,2012,5.07474300799149,2208293553878.42,27.6477290740837,-80.16437403,594192620576,447048493878,147144126698,
Russian Federation,RUS,2013,6.75466833903486,2292470078346.22,30.2102878450986,-86.66912112,592496613390,468622436736,123874176654,
Russian Federation,RUS,2014,7.82016970013845,2059241589895.01,27.8421875364677,-83.49141511,558282985966,426062113845,132220872121,
Russian Federation,RUS,2015,15.5343959935701,1363482182197.71,37.125952762227,-89.86205251,391365600741,281640332373,109725268368,
Russian Federation,RUS,2016,7.04243725413707,1276786350881.14,43.1184713428485,-90.27864762,330106509740,263830495059,66276014681,
Russian Federation,RUS,2017,3.68333072334495,1574199360089.0,33.8872742360339,-91.76702644,410722481425,327207464722,83515016703,
Russian Federation,RUS,2018,2.87831382614981,1657328773461.31,29.548796109,-91.98553434,510345505267,344519598182,165825907085,
Russian Federation,RUS,2019,4.47202631837903,1693115002708.32,29.6288697909038,-99.05170322,481410680627,352088733269,129321947358,
Russian Federation,RUS,2020,3.38219796948068,1493075894362.14,31.6125814211445,-90.05135864,381065599584,305255226177,75810373407,
Russian Federation,RUS,2021,6.69445891957612,1829186719575.1,26.4340953468359,-80.50924377,548800273711,376515695621,172284578090,
Russian Federation,RUS,2022,13.7436797398232,2291612121334.64,16.757438584072,-75.13753584,635241831701,345173687962,290068143739,
Russian Federation,RUS,2023,5.86571931748967,2071505725030.58,18.5,-74.14,465937815839,379947593533,85990222306,
